phoneme,driving rate,lower bnd,upper bnd
i,0.00045733687859462004,-0.0008756506281726473,0.0018683700433952016
e,0.000499999999999997,-0.0005715593947699755,0.000857186464923324
u,0.0005000000000000004,-2.4073670843517995e-6,0.0017318149181170532
oy,0.0007916415615440933,0.0002921478181633814,0.0017435018543785793
iy,0.0009740888098826595,0.000025239897752915444,0.0029475060274009217
iyr,0.0009766382774407231,-0.0018837119080413634,0.0010159380755195276
owF,0.0012144203665995822,-0.00043011056077488317,0.0020593013824874297
ah,0.0012570560721188843,-0.0013210313394002762,0.002275519911096832
Tuw,0.001302982576801937,0.0008714395118726527,0.002717533041542105
ow,0.0017677562057868109,-0.0013937233856170452,0.0031279653324072123
ahr,0.0018386727312010242,0.0010664710786061822,0.002893309744274981
o,0.0018558458198039598,-0.002424955654769763,0.0034875268794882495
owr,0.0019999999999999983,-0.0027685106801224758,0.003907877116452689
uw,0.0020000000000000018,0.001091981032866287,0.003556665507085053
aw,0.002135200467855555,0.0011584655940281073,0.00370330108425932
eyF,0.002236373729933705,0.0019247257972441441,0.00373921136947434
ae,0.002377418851196241,0.001045182836086302,0.0038458464538469097
ay,0.0024067650297156847,0.00106332917473119,0.003918366299555751
uh,0.0024975912424309702,-0.002624102618984273,0.006035399700540416
owL,0.003413838144096489,-0.004357888019623048,0.00841341924710166
oh,0.0034745607942542685,0.0008413793777876273,0.00500642396245967
aeh,0.003999999999999997,-0.004075149906763855,0.008878003133942752
uwr,0.004278415527131494,0.0031643818795075345,0.00565638394601614
uwL,0.0044091937049453335,-0.0048101300087295355,0.011668875816422274
ey,0.005862313512143521,0.005074653484100087,0.006853982624485321
ay0,0.010107623258150497,0.009561721920719846,0.01263850356730143
